symbol,first_close,last_close,total_log_return,close_min,close_max,price_range_ratio,logret_mean,logret_std,logret_abs_mean,logret_zero_frac,volume_sum,volume_nonzero_frac,volume_max
MNST,18.1383,85.19,1.5468583313050897,17.8267,85.67,3.7403339894036374,5.4256693486521684e-05,0.005375293579954403,0.002559722479286519,0.32392143107681515,22302570816.0,1.0,23593962.0
OHI,40.15,47.24,0.16261855093639102,13.48,47.92,0.8577833125778331,5.703912695054064e-06,0.006272558626880995,0.002801951075565175,0.3290073658365486,8008027363.0,1.0,6233256.0
GPK,13.56,11.95,-0.12639300413472995,10.17,30.64,1.5095870206489674,-4.433286711110076e-06,0.00566931708134469,0.0028959749458301915,0.3374254647492108,14060339793.0,1.0,8714632.0
FAST,11.905,44.61,1.3209995692013474,8.61375,50.47,3.515854682906342,4.633460432112103e-05,0.005140790859669891,0.0026278458615770005,0.32528937215012277,33421838028.0,1.0,26259436.0
CBOE,63.47,290.57,1.5212771578018818,55.28,293.65,3.755632582322357,5.335942328308051e-05,0.005022807447423497,0.0026239111420262753,0.32104524728165557,3340359479.0,1.0,3389162.0
MSI,67.13,470.56,1.9472924368550246,56.51,507.02,6.711008490987636,6.830208477214034e-05,0.004742037527953927,0.0023038534188135986,0.319326552086987,4214740208.0,0.9999298491757278,4273826.0
EA,47.41,201.7283,1.448088565591187,45.6936,204.8,3.3559670955494627,5.079230324761678e-05,0.005870533531984107,0.002770230767726634,0.31974745703262014,11623511319.0,1.0,15699540.0
JBHT,83.32,219.12,0.9669309085620515,63.64,231.27,2.011881901104177,3.39155001249139e-05,0.005673802390048935,0.0029081448307805356,0.3199929849175728,3728911267.0,0.9999298491757278,2169902.0
HTGC,15.0,15.1053,0.006995474512386438,5.875,22.0,1.075,2.453691516078376e-07,0.006354892840820267,0.0025856018785250373,0.349245878639074,3226056690.0,1.0,7348502.0
BLK,357.76,1094.51,1.1181996829865506,281.1,1217.42,2.6171735241502687,3.922131473119403e-05,0.00536075027336818,0.002631904498845506,0.3156436338126973,2579662914.0,1.0,3009570.0
TXN,53.787,213.65,1.379307359808634,43.52,230.67,3.4794652983062817,4.83797741075841e-05,0.005587395350877383,0.0028148255709652156,0.3191862504384427,20051477143.0,0.9996843212907751,12389228.0
MAS,25.2,71.81,1.0471797476048486,22.579,86.4,2.5325793650793655,3.673026122771864e-05,0.005674359923238142,0.0028621417612409755,0.32630655910206946,11298267775.0,1.0,5035728.0
AKAM,63.36,99.57,0.45202816689382236,39.55,129.14,1.4139835858585856,1.585507425090191e-05,0.0064418848446957935,0.0028106575663811484,0.3217116801122413,7178137041.0,0.9998947737635917,7899767.0
IP,53.33,43.76,-0.19777886649878507,26.46,65.75,0.7367335458466154,-6.937175254240413e-06,0.0061042739644300275,0.0029923727391850657,0.3244475622588565,13397191367.0,1.0,14508075.0
PBH,34.96,68.87,0.6780161187692721,26.69,89.75,1.8037757437070938,2.3781694800696196e-05,0.006031859231581729,0.003080154510899101,0.32581550333216414,1561071388.0,0.9997193967029112,1059869.0
PBA,37.0,44.105,0.1756552420665058,11.39,44.57,0.8967567567567567,6.161180009332377e-06,0.006402928509827047,0.0027375511213842316,0.33388284812346547,3399661457.0,1.0,3352647.0
BRC,27.45,91.65,1.2056108063301745,18.735,98.33,2.8996357012750456,4.228729590766773e-05,0.005683655362044319,0.0028264114865127568,0.33988074359873727,964707245.0,0.9999298491757278,563802.0
MFC,18.97,35.45,0.6252644690312138,8.77,38.63,1.5740643120716924,2.193140894523826e-05,0.005479912607713989,0.0025910145369955014,0.3413539109084532,10851411752.0,0.9997193967029112,12411198.0
BAX,73.61,20.66,-1.2705814223791219,17.41,94.89,1.0525743784811847,-4.4566167042288794e-05,0.006576055206327787,0.0025809858017084427,0.3266923886355665,16162612708.0,0.9995440196422308,14297409.0
CTAS,19.6375,196.75,2.3044928837157728,19.05,228.71,10.676511775938893,8.083103766086185e-05,0.004973435471768186,0.0022984600190488966,0.3190459487898983,7998364298.0,1.0,4295508.0
FUL,43.9999,64.65,0.3848007440294609,24.105,86.95,1.4282987006788652,1.3497044687082042e-05,0.00604112426685545,0.0030323934807921366,0.3264117853384777,1474086073.0,0.9999298491757278,1599893.0
HSBC,47.1,94.16,0.692722461929649,18.01,94.51,1.6242038216560508,2.4297525848073155e-05,0.00520366377430519,0.0020932053499313364,0.3329007365836549,9330050279.0,1.0,12509660.0
RMD,57.07,252.095,1.485527416049128,49.0,298.57,4.373050639565446,5.2105486357339056e-05,0.005978506170398841,0.002682227832476505,0.32062434233602244,3312470377.0,0.999614170466503,4692670.0
PKG,78.44,230.36,1.077309301310326,44.89,250.36,2.619454360020398,3.778706774147496e-05,0.005520524850068427,0.002732025620313132,0.31960715538407575,3236285724.0,0.9996843212907751,1807396.0
